envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
429	4545000	4473000	4713000	4593000	4473000	4473000	
430	4542000	4470000	4710000	4590000	4470000	4470000	
431	4539000	4467000	4707000	4587000	4467000	4467000	
432	4560000	4584000	4704000	4584000	4464000	4464000	
433	4581000	4581000	4701000	4581000	4461000	4581000	
434	4578000	4578000	4698000	4578000	4458000	4578000	
435	4575000	4575000	4695000	4575000	4455000	4575000	
436	4596000	4572000	4692000	4572000	4452000	4692000	
437	4617000	4569000	4689000	4689000	4449000	4689000	
438	4614000	4566000	4686000	4686000	4446000	4686000	
439	4611000	4563000	4683000	4683000	4443000	4683000	
440	4656000	4680000	4680000	4680000	4560000	4680000	
441	4653000	4677000	4677000	4677000	4557000	4677000	
442	4650000	4674000	4674000	4674000	4554000	4674000	
443	4647000	4671000	4671000	4671000	4551000	4671000	
444	4644000	4668000	4668000	4668000	4548000	4668000	
445	4665000	4665000	4665000	4665000	4545000	4785000	
446	4734000	4782000	4782000	4662000	4662000	4782000	
447	4779000	4779000	4779000	4779000	4779000	4779000	
448	4800000	4776000	4776000	4896000	4776000	4776000	
449	4797000	4773000	4773000	4893000	4773000	4773000	
450	4794000	4770000	4770000	4890000	4770000	4770000	
451	4791000	4767000	4767000	4887000	4767000	4767000	
452	4788000	4764000	4764000	4884000	4764000	4764000	
453	4809000	4881000	4761000	4881000	4761000	4761000	
454	4806000	4878000	4758000	4878000	4758000	4758000	
455	4803000	4875000	4755000	4875000	4755000	4755000	
456	4824000	4872000	4752000	4992000	4752000	4752000	
457	4845000	4989000	4749000	4989000	4749000	4749000	
458	4842000	4986000	4746000	4986000	4746000	4746000	
459	4839000	4983000	4743000	4983000	4743000	4743000	
460	4860000	4980000	4860000	4980000	4740000	4740000	
461	4881000	4977000	4857000	5097000	4737000	4737000	
462	4902000	4974000	4854000	5094000	4854000	4734000	
463	4923000	4971000	4851000	5091000	4851000	4851000	
464	4944000	4968000	4848000	5088000	4968000	4848000	
465	4941000	4965000	4845000	5085000	4965000	4845000	
466	4962000	4962000	4962000	5082000	4962000	4842000	
467	5031000	4959000	4959000	5199000	5079000	4959000	
468	5052000	5076000	4956000	5196000	5076000	4956000	
469	5073000	5193000	4953000	5193000	5073000	4953000	
470	5094000	5190000	4950000	5190000	5070000	5070000	
471	5091000	5187000	4947000	5187000	5067000	5067000	
472	5088000	5184000	4944000	5184000	5064000	5064000	
473	5085000	5181000	4941000	5181000	5061000	5061000	
474	5106000	5178000	4938000	5178000	5178000	5058000	
475	5103000	5175000	4935000	5175000	5175000	5055000	
