fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240513 042612	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	659	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0399505254166541	0.671206435705777	1018	1595	13326	59332704.6476762	45
20240513 044008	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1402	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0430879395942252	0.679800694394378	834	1688	12848	57690602.6986507	46
20240513 045321	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1114	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0192187696904767	0.66814178355122	1404	1393	12071	60125830.5847076	47
20240513 051703	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2408	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.017366405512406	0.661192631498088	1467	1327	11719	58542130.4347826	48
20240513 053759	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2070	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0183697375512763	0.674623931488994	1304	1423	11482	58131331.3343328	49
20240513 060207	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2585	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0210055660723721	0.68208431816934	1197	1527	11760	58054512.7436282	50
20240513 061018	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	463	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0516450681095011	0.64700034088536	1557	990	11565	58453065.9670165	51
20240513 065113	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3918	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0104582867092312	0.899789722465478	747	1880	13964	58948839.5802099	52
20240513 073411	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5115	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0100389157284043	0.72041101032603	1054	1735	12749	58553779.6101949	53
20240513 075117	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1872	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0286959172020209	0.899297035679491	468	2000	12865	58487458.7706147	54
20240513 080348	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	262	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0530760108759791	0.667556664077381	1535	100	13669	56562115.4422789	55
20240513 083747	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3237	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0100552702618176	0.728709505283318	2048	1082	15470	59261724.137931	56
20240513 090925	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2940	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0100596314751412	0.713854030116057	2048	1064	12140	58637331.3343328	57
20240513 092346	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1304	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0201756001002865	0.767613938283771	1046	1530	12826	59722359.82009	58
20240513 094740	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2511	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0194760920243879	0.789195649727072	1039	1476	12681	59001737.6311844	59
20240513 100132	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1213	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0206598315323811	0.773381005001299	975	1525	10501	58962367.3163418	60
20240513 101804	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1611	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0215003822721565	0.757064028320675	899	1572	12957	58546751.1244378	61
20240513 104459	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1322	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0100597084026614	0.801207148438947	2048	402	13697	59620604.197901	62
20240513 111659	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	755	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0100615366477111	0.89357220771793	2048	174	14060	59393793.1034483	63
20240513 114927	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	755	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0100615366477111	0.89357220771793	2048	174	14060	59393793.1034483	64
20240513 121556	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	874	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.0100320939150857	0.897299306854323	2030	274	12230	59563673.1634183	65
20240513 121901	1614	301318	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	441	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200041	0.214475537422087	0.898082112460912	13	1999	11287	55141578.7106447	66
