envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
297	3549000	3789000	3189000	3429000	3549000	3789000	
298	3594000	3906000	3186000	3426000	3666000	3786000	
299	3639000	4023000	3303000	3423000	3663000	3783000	
300	3636000	4020000	3300000	3420000	3660000	3780000	
301	3633000	4017000	3297000	3417000	3657000	3777000	
302	3630000	4014000	3294000	3414000	3654000	3774000	
303	3651000	4011000	3411000	3411000	3651000	3771000	
304	3672000	4008000	3528000	3408000	3648000	3768000	
305	3693000	4005000	3645000	3405000	3645000	3765000	
306	3690000	4002000	3642000	3402000	3642000	3762000	
307	3687000	3999000	3639000	3399000	3639000	3759000	
308	3732000	4116000	3636000	3396000	3756000	3756000	
309	3777000	4113000	3753000	3513000	3753000	3753000	
310	3774000	4110000	3750000	3510000	3750000	3750000	
311	3819000	4107000	3747000	3507000	3867000	3867000	
312	3840000	4104000	3744000	3624000	3864000	3864000	
313	3837000	4101000	3741000	3621000	3861000	3861000	
314	3834000	4098000	3738000	3618000	3858000	3858000	
315	3855000	4095000	3735000	3615000	3975000	3855000	
316	3900000	4212000	3732000	3732000	3972000	3852000	
317	3897000	4209000	3729000	3729000	3969000	3849000	
318	3918000	4206000	3846000	3726000	3966000	3846000	
319	3939000	4203000	3843000	3723000	4083000	3843000	
320	3960000	4200000	3840000	3720000	4200000	3840000	
321	4005000	4317000	3837000	3717000	4317000	3837000	
322	4026000	4434000	3834000	3714000	4314000	3834000	
323	4023000	4431000	3831000	3711000	4311000	3831000	
324	4044000	4428000	3948000	3708000	4308000	3828000	
325	4041000	4425000	3945000	3705000	4305000	3825000	
326	4038000	4422000	3942000	3702000	4302000	3822000	
327	4035000	4419000	3939000	3699000	4299000	3819000	
328	4056000	4416000	3936000	3696000	4296000	3936000	
329	4101000	4413000	4053000	3813000	4293000	3933000	
330	4098000	4410000	4050000	3810000	4290000	3930000	
331	4095000	4407000	4047000	3807000	4287000	3927000	
332	4116000	4524000	4044000	3804000	4284000	3924000	
333	4113000	4521000	4041000	3801000	4281000	3921000	
334	4134000	4518000	4158000	3798000	4278000	3918000	
